COMUNIDAD_AUTONOMA$PROVINCIA$LOCALIDAD$DENOMINACIONGENERICA$DENOMINACIONESPECIFICA$CODIGO$DOMICILIO$CODPOSTAL$TELEFONO$LATITUD$LONGITUD$DIRECCION_GOOGLE
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$Retamar$4500775$de los Úbeda, s/n                                                               $4071$950153102$36.8852027$-2.4387868$C. Prof. Tierno Galván, 23, 04230 Huércal de Almería, Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro de Educación de Adultos$San Luis-Torrecárdenas$4501101$de Alhadra s/n                                                                  $4009$950156621$36.8602143$-2.4447288$Torre Cárdenas, 04009 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro Específico de Educación Especial$C.Apoyo.I.Sordos Rosa Relaño$4001291$Carrera Limoneros, 15$4080$950156547$36.8392273$-2.4535782$Ctra. de los Limoneros, 15, 04006 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro Específico de Educación Especial$Provincial Princesa Sofía$4000985$Pablo Neruda, 5                                                                 $4009$950156545$36.8531497$-2.4381411$C. Pablo Neruda, 5, 04009 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Centro Público Integrado de Formación Profesional$Almeraya$4001205$de la Caridad, 125                                                              $4008$950156552$36.8349707$-2.4431172$C. Nogal, 0, 04007 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Adela Díaz$4005673$Padre Méndez, s/n$4006$950156206$36.8401569$-2.451923$Av. Padre Méndez, 35, 04006 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Alfredo Molina Martín$4601567$Fernando de Rojas, 4$4008$950156272$36.8484602$-2.4710367$C. Fernando de Rojas, 4, 04008 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Ángel Suquía$4001072$Sierra de Bacares, 1$4009$950156142$36.8574179$-2.4508447$C. Sierra de Bacares, 1, 04009 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Ave María del Diezmo$4001229$Carrera del Mami, 110                                                           $4009$950156166$36.8471997$-2.4375619$Carrera del Mami, 110, 04009 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Ave María del Quemadero$4000924$Barranco Bolas, 7$4008$950156132$36.8457298$-2.467322$Barranco Bolas, 5, 04008 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Colonia Araceli$4005235$Virgen de las Angustias, 2$4009$950156201$36.8527605$-2.4539782$C. Virgen de las Angustias, 2, 04008 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$El Puche$4001308$Mare Nostrum, 56                                                                $4009$950156175$36.8465566$-2.4339119$El Puche, 04009 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Europa José Ramos Santander$4000857$Madre María Aznar, 272                                                          $4009$950156697$36.8512151$-2.4521658$Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Francisco de Goya$4000997$de la Cruz de Caravaca, 222                                                     $4008$671535578$36.8571035$-2.4612884$Cam. de la Cruz de Caravaca, 222, 04008 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Freinet$4000973$de Ronda, 100                                                                   $4006$950156136$36.8389323$-2.4546849$Ctra. de Ronda, 100, 04006 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Giner de los Ríos$4000791$Cervantes, 4                                                                    $4003$950156115$36.8512151$-2.4521658$Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Ginés Morata$4006446$Sahara, 137$4009$950153325$36.8565761$-2.4469792$C. Sahara, 137, 04009 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Indalo$4004954$Granada, 249                                                                    $4008$950156195$36.8686786$-2.5049414$04008 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Inés Relaño$4000808$General Luque, 31                                                               $4002$950156119$36.83814690000001$-2.4735633$C. Gral. Luque, 31, 04002 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Josefina Baro Soler$4005697$Mare Nostrum, s/n                                                               $4009$950156642$36.8499292$-2.4327351$Av. Mare Nostrum, s/n, 04009 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Juan Ramón Jiménez$4000729$Alfarerías, 43$4008$950156109$36.84356$-2.4456241$C. Juan Ramón Jiménez, 04006 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$La Chanca$4000811$del Mar, s/n                                                                    $4002$950156120$36.839005$-2.4786423$La Chanca, 04002 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Lope de Vega$4000870$Chile, 42                                                                       $4007$950156924$36.8328082$-2.4524496$C. Chile, 42, 04007 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Los Almendros$4000900$Los Almendros, s/n                                                              $4009$950156130$36.8609574$-2.4556839$Los Almendros, 04009 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Los Millares$4001281$Santa Isabel, s/n                                                               $4008$950156173$36.8486866$-2.4650428$FCA, Av. de Santa Isabel, 04008 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Luis Siret$4001266$Santa Isabel, 29                                                                $4005$950156168$36.8457806$-2.4559403$Av. de Santa Isabel, 29, 04009 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Madre de la Luz$4005041$Calzada de Castro, 3                                                            $4006$950156550$36.8381039$-2.4539306$Calle Calz. de Castro, 3, 04006 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Mar Mediterráneo$4005326$Jóse Morales Abad, 9$4007$950156203$36.8270874$-2.435696$04007 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Nueva Almería$4006100$Camino de Jaul, esquina Fernando Fernán Gómez                                   $4007$950156679$36.8270874$-2.435696$04007 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Rafael Alberti$4602134$Marina, s/n$4007$950156208$36.832564$-2.4560415$C. la Marina, 9, 04007 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$San Fernando$4000948$Rodrigo Vivas Miras, 28$4007$950156134$36.8270874$-2.435696$04007 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$San Gabriel$4000730$Villa de Artes, 13$4006$950156113$36.844378$-2.4462725$C. Villa de Artes, 13, 04006 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$San Luis$4004671$De los Colegios, 12                                                             $4009$950156178$36.8507525$-2.4464623$Barrio de San Luis, 04009 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$San Valentín$4000821$Burgos, 45                                                                      $4007$950156124$36.8270874$-2.435696$04007 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Santa Isabel$4004747$la Molineta, 2$4008$950156184$36.8686786$-2.5049414$04008 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Virgen del Loreto$4000833$José María Artero, 12$4007$950156127$36.8335058$-2.4447583$C. José María Artero, 20, 04007 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Virgen del Mar$4000717$Granada, 177$4008$950156107$36.8402647$-2.4614043$C. Rbla. Obispo Orberá, 04001 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Primaria$Padre Méndez$4005053$Padre Méndez, 29                                                                $4006$950156197$36.8396065$-2.4511223$Av. Padre Méndez, 04006 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Conservatorio Profesional de Danza$Kina Jiménez$4006239$Avenida Maestro Gaspar Vivas, nº 74                                             $4007$671531014$36.82605059999999$-2.4378514$Av. Maestro Gaspar Vivas, 04007 Almería, Spain
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Conservatorio Profesional de Música$Real Conservatorio Profesional de Música Julián Arcas$4600022$Padre Méndez, s/n                                                               $4006$950156248$36.8394123$-2.4525703$Av. Padre Méndez, 28, 04006 Almería, Spain
