COMUNIDAD_AUTONOMA$PROVINCIA$LOCALIDAD$DENOMINACIONGENERICA$DENOMINACIONESPECIFICA$CODIGO$NATURALEZA$DOMICILIO$CODPOSTAL$TELEFONO
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Virgen del Loreto$04000833$José María Artero, 12$04007$950156127
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Infantil y Primaria$Virgen del Mar$04000717$Granada, 177$04008$950156107
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Colegio de Educación Primaria$Padre Méndez$04005053$Padre Méndez, 29                                                                $04006$950156197
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Conservatorio Profesional de Danza$Kina Jiménez$04006239$Avenida Maestro Gaspar Vivas, nº 74                                             $04007$671531014
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Conservatorio Profesional de Música$Real Conservatorio Profesional de Música Julián Arcas$04600022$Padre Méndez, s/n                                                               $04006$950156248
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela de Arte y Superior de Diseño$Carlos Pérez Siquier$04001242$Pablo Cazard, 1                                                                 $04001$950156158
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$Carmen Mora Garrido$04009472$Los Almendros, s/n                                                              $04009$677551249
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$Dumbo$04009113$Adra, 7$04007$950155024
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$Espejo del Mar$04009101$Sierra de Monteagud, 137$04009$950153334
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$La Alcazaba$04009095$Sevillanas, s/n$04009$647754460
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$La Esmeralda$04009083$Turquesa, 28$04008$950155026
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$Los Llanos de la Cañada$04009071$El Boticario, s/n$04120$647554022
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$Maestro Padilla$04601580$Grecia, 1                                                                       $04009$950156543
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$Mar de Alborán$04001230$Padre Méndez, s/n                                                               $04006$950156542
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$Mediterráneo$04009265$Francia, esquina Suiza$04009$950155022
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$Santo Ángel de la Guarda$04009034$Escalinata, 25$04002$950234675
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Infantil$Torre de los Ángeles$04008984$de los Limoneros, 6$04006$950155028
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Escuela Oficial de Idiomas$Almería$04700181$de la Caridad, 125- Finca Santa Isabel                                          $04008$950156266
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Instituto de Educación Secundaria$Al-Ándalus$04004620$de la Caridad, 125. Finca Santa Isabel                                          $04008$950156936
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Instituto de Educación Secundaria$Albaida$04005958$de Níjar, s/n. Bda. Los Molinos                                                 $04009$950156290
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Instituto de Educación Secundaria$Alborán - Manuel Cáliz$04004802$Padre Méndez, 30                                                                $04006$950156559
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Instituto de Educación Secundaria$Alhadra$04001163$de los Colegios, 7                                                              $04009$950156930
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Instituto de Educación Secundaria$Alhamilla$04000699$Federico García Lorca, 130                                                      $04005$950156100
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Instituto de Educación Secundaria$Azcona$04700442$Policia José Rueda Alcaraz, 1                                                   $04006$950156222
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Instituto de Educación Secundaria$Bahía de Almería$04700156$Luis Vives, s/n                                                                 $04006$950156275
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Instituto de Educación Secundaria$Celia Viñas$04001151$Javier Sanz, 15                                                                 $04004$950156151
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Instituto de Educación Secundaria$Cruz de Caravaca$04700466$La Molineta, s/n                                                                $04008$950156644
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Instituto de Educación Secundaria$El Argar$04004814$de la Caridad, 125                                                              $04008$950156189
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Instituto de Educación Secundaria$Galileo$04700326$del Mar, 8                                                                      $04007$671530946
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Instituto de Educación Secundaria$Los Ángeles$04001187$Maestría, 2                                                                     $04008$671530970
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Instituto de Educación Secundaria$Maestro Padilla$04700454$del Mediterráneo, 53                                                            $04007$950156226
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Instituto de Educación Secundaria$Nicolás Salmerón Alonso$04001141$Celia Viñas, s/n                                                                $04007$950156149
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Instituto de Educación Secundaria$Río Andarax$04700511$Mare Nostrum, s/n                                                               $04009$950156241
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Almería$Instituto Provincial de Formación de Adultos$Almería$04700651$de la Caridad, 125. Finca Santa Isabel                                          $04008$950156163
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Antas$Centro de Educación de Adultos$Fuente Vermeja$04500465$Aire, s/n                                                                       $04628$950451677
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Antas$Colegio de Educación Infantil y Primaria$El Argar$04001448$Blas Infante, 15                                                                $04628$950451552
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Antas$Escuela Infantil$La Pernera$04009630$Zurgena, s/n$04628$637498047
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Antas$Instituto de Educación Secundaria$Azahar$04000766$Juan Carlos I, s/n                                                              $04628$950451949
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Arboleas$Centro de Educación de Adultos$Los Naranjos(Arboleas - La Cinta)$04500945$Campillo, s/n                                                                   $04660$950449582
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Arboleas$Colegio de Educación Infantil y Primaria$Ntra. Sra. de la Asunción$04001485$La Torre, s/n                                                                   $04660$950639916
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Arboleas$Escuela Infantil$La Tortuga Feliz$04010644$Museo, s/n.$04660$950634318
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Armuña de Almanzora$Colegio Público Rural$Alto Almanzora$04601968$Plazoleta de los Pinos, 1                                                       $04888$950429907
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Bacares$Centro de Educación de Adultos$Los Prados Altos$04500982$Queipo de Llano, s/n. Casa Escuelas                                             $04889$628472207
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Balanegra$Colegio de Educación Infantil y Primaria$Buenavista$04001771$El Llano, 4                                                                     $04713$950579886
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Balanegra$Escuela Infantil$Balanegra$04008741$Macael, s/n$04713$655706432
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Balerma$Colegio de Educación Infantil y Primaria$Miguel Servet$04002192$Góngora, 103                                                                    $04712$950579941
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Balerma$Escuela Infantil$Balerma$04009061$Góngora, s/n$04712$950407292
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Balerma$Instituto de Educación Secundaria$Mar Azul$04700533$de  Guardias Viejas, s/n                                                        $04712$950579694
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Bayárcal$Colegio Público Rural$Alpujarra Alta$04602161$Granada, s/n                                                                    $04479$950515550
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Bédar$Colegio de Educación Infantil y Primaria$El Puntal$04602195$Solana s/n                                                                      $04288$950451936
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Benahadux$Colegio de Educación Infantil y Primaria$Padre Manjón$04001709$Manuel Zamora Cruz, s/n                                                         $04410$950156500
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Benahadux$Escuela Infantil$El Mirador$04008728$Huelva, s/n$04410$950310001
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Benahadux$Instituto de Educación Secundaria$Aurantia$04700545$Nacional 340                                                                    $04410$950156990
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Berja$Centro de Educación de Adultos$Engarpe$04501081$Carolinas, 17                                                                   $04760$950579691
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Berja$Colegio de Educación Infantil y Primaria$Celia Viñas$04004723$Benejí, 5                                                                       $04760$950579846
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Berja$Colegio de Educación Infantil y Primaria$San Tesifón$04001795$de Turón, s/n                                                                   $04760$950579904
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Berja$Colegio de Educación Primaria$Andrés Manjón$04001783$de Cervantes, 11$04760$950579835
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Berja$Escuela Infantil$Arco Iris$04008731$Manuel Salmerón, 72$04760$639817300
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Berja$Escuela Infantil$Barajas$04004541$Moaja, 1$04760$950579537
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Berja$Instituto de Educación Secundaria$Sierra de Gádor$04001825$Ramón y Cajal, 1                                                                $04760$950579548
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Berja$Instituto de Educación Secundaria$Villavieja$04008315$del Estudiante, s/n                                                             $04760$950579672
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Cabo de Gata$Centro de Educación de Adultos$Cabo de Gata$04500647$San Francisco, 11                                                               $04150$950156497
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Cabo de Gata$Colegio de Educación Infantil y Primaria$Virgen del Mar$04001345$de la Iglesia, s/n                                                              $04150$950156370
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Campohermoso$Colegio de Educación Infantil y Primaria$Concordia$04003238$Itálica, s/n                                                                    $04110$600140444
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Campohermoso$Colegio de Educación Infantil y Primaria$La Libertad$04601798$Motorista, 12                                                                   $04110$950368908
COMUNIDAD AUTÓNOMA DE ANDALUCÍA$Almería$Campohermoso$Escuela Infantil$Campohermoso$04010309$Benizalón, s/n$04110$950387564
